seqnames	start	end	width	strand	V4	V5	V6	V7	V8	V9	V10	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	GENENAME
chr9	126676775	126677120	346	*	.	1000	.	396.863	-1	3.73981	184	Intron (uc004bnz.1/57706, intron 1 of 21)	9	126141933	126692417	550485	2	57706	uc004bnz.1	15297	DENND1A
chr11	92550507	92550748	242	*	.	1000	.	394.14421	-1	3.73981	124	Intron (uc001pdj.4/120114, intron 12 of 24)	11	92573728	92629635	55908	1	120114	uc001pdi.4	-22980	FAT3
chr6	91299670	91299929	260	*	.	1000	.	365.90109	-1	3.73981	135	Distal Intergenic	6	91223292	91297020	73729	2	6885	uc003poc.2	-2650	MAP3K7
chr7	157310369	157310611	243	*	.	1000	.	345.32898	-1	3.73981	118	Distal Intergenic	7	157367028	157367114	87	2	406945	uc011kwb.1	56503	MIR153-2
chr16	8983686	8983960	275	*	.	1000	.	342.89458	-1	3.73981	135	Downstream (1-2kb)	16	8946799	8962869	16071	2	23589	uc031qvd.1	-20817	CARHSP1
chr6	31171943	31172197	255	*	.	1000	.	317.81231	-1	3.73981	115	Distal Intergenic	6	31165537	31171745	6209	1	253018	uc011dni.3	6406	HCG27
chr2	148578187	148578418	232	*	.	1000	.	308.66225	-1	3.73981	113	Distal Intergenic	2	148602086	148688393	86308	1	92	uc002twg.3	-23668	ACVR2A
chr2	44802923	44803153	231	*	.	1000	.	301.46053	-1	3.73981	124	Intron (uc002rum.3/79823, intron 3 of 10)	2	44776630	44776659	30	2	100616475	uc021vgr.1	-26264	MIR548AD
chr15	71203698	71203940	243	*	.	1000	.	299.97035	-1	3.73981	127	5' UTR	15	71187978	71342436	154459	1	54839	uc002asz.3	15720	LRRC49
chr20	57232137	57232384	248	*	.	1000	.	297.12569	-1	3.73981	120	Intron (uc002xzi.3/8675, intron 1 of 8)	20	57226309	57254582	28274	1	8675	uc021wfj.1	5828	STX16
chr14	42335990	42336218	229	*	.	1000	.	281.90719	-1	3.73981	114	Intron (uc001wvm.3/145581, intron 2 of 5)	14	42168630	42373752	205123	1	145581	uc010ana.3	167360	LRFN5
chr12	129771360	129771592	233	*	.	1000	.	281.39069	-1	3.73981	114	Intron (uc009zyl.1/121256, intron 4 of 8)	12	129556271	129570545	14275	2	121256	uc001uia.2	-200815	TMEM132D
chr20	52048430	52048687	258	*	.	1000	.	268.0902	-1	3.73981	120	Intron (uc002xwo.3/128553, intron 2 of 2)	20	52183610	52199707	16098	2	7764	uc002xwq.4	151020	ZNF217
chr1	203519454	203519676	223	*	.	1000	.	263.86017	-1	3.73981	113	Distal Intergenic	1	203463271	203478077	14807	1	26254	uc001gzu.1	56183	OPTC
chr5	5179708	5179923	216	*	.	1000	.	262.19191	-1	3.73981	101	Intron (uc003jdj.1/170690, intron 3 of 10)	5	5140443	5320412	179970	1	170690	uc003jdl.3	39265	ADAMTS16
chr11	120645768	120646030	263	*	.	1000	.	262.14957	-1	3.73981	125	Intron (uc001pxn.2/2900, intron 3 of 20)	11	120530978	120856969	325992	1	2900	uc009zax.1	114790	GRIK4
chr16	72722633	72722882	250	*	.	1000	.	262.02535	-1	3.73981	128	Intron (uc002fcj.1/uc002fcj.1, intron 1 of 6)	16	72816786	73082274	265489	2	463	uc002fck.3	359392	ZFHX3
chr6	113777033	113777290	258	*	.	1000	.	260.96693	-1	3.73981	125	Distal Intergenic	6	114178527	114184652	6126	1	4082	uc003pvy.4	-401237	MARCKS
chr11	97856763	97856968	206	*	.	1000	.	258.64382	-1	3.73981	97	Distal Intergenic	11	98891706	100096179	1204474	1	53942	uc009ywv.2	-1034738	CNTN5
chr5	58717748	58717966	219	*	.	1000	.	248.44318	-1	3.73981	112	Intron (uc003jrx.2/5144, intron 1 of 14)	5	58264866	58652727	387862	2	5144	uc003jrw.2	-65021	PDE4D
chr14	58769043	58769330	288	*	.	1000	.	246.75626	-1	3.73981	135	Intron (uc010apf.1/5926, intron 3 of 5)	14	58765222	58840451	75230	1	5926	uc001xdq.3	3821	ARID4A
chr6	130632995	130633205	211	*	.	1000	.	243.45626	-1	3.73981	102	Intron (uc003qbx.4/154075, intron 2 of 13)	6	130465447	130686570	221124	2	154075	uc003qbx.4	53365	SAMD3
chr6	37141591	37141820	230	*	.	1000	.	238.09481	-1	3.73981	129	3' UTR	6	37140233	37143204	2972	1	5292	uc011dtw.2	1358	PIM1
chr9	38214504	38214729	226	*	.	1000	.	237.88947	-1	3.73981	127	Distal Intergenic	9	37915895	38069210	153316	2	6461	uc004aax.3	-145294	SHB
chr18	26956981	26957210	230	*	.	1000	.	236.99731	-1	3.73981	121	Distal Intergenic	18	27878876	27878926	51	1	100302131	uc021uim.1	-921666	NA
chr19	5499201	5499425	225	*	.	1000	.	234.696	-1	3.73981	117	Distal Intergenic	19	5455426	5456867	1442	1	148066	uc002mca.4	43775	ZNRF4
chr4	130026279	130026506	228	*	.	1000	.	233.4538	-1	3.73981	104	Intron (uc010ioc.1/132321, intron 2 of 4)	4	130017282	130033843	16562	1	132321	uc010iod.3	8997	C4orf33
chr17	17700370	17700633	264	*	.	1000	.	230.08761	-1	3.73981	120	Exon (uc002grm.3/10743, exon 3 of 6)	17	17685446	17701827	16382	1	10743	uc002grn.1	14924	RAI1
chr4	86959899	86960114	216	*	.	1000	.	223.98337	-1	3.73981	101	Intron (uc003hpn.3/5602, intron 3 of 5)	4	86936276	87020430	84155	2	5602	uc003hpn.3	60316	MAPK10
chr6	91298642	91298893	252	*	.	1000	.	223.81782	-1	3.73981	129	Distal Intergenic	6	91223292	91297020	73729	2	6885	uc003poc.2	-1622	MAP3K7
chr17	28402448	28402650	203	*	.	1000	.	218.92299	-1	3.73981	104	Intron (uc002het.3/374786, intron 14 of 22)	17	28443825	28513493	69669	1	84081	uc002heu.4	-41175	NSRP1
chr2	85135021	85135252	232	*	.	1000	.	218.56197	-1	3.73981	106	Distal Intergenic	2	85132763	85133799	1037	1	9168	uc002sow.1	2258	TMSB10
